STRAIGHT_DEM,STRAIGHT_GOP,STRAIGHT_ALL,SPLIT_BIDEN,SPLIT_TRUMP,SPLIT_ALL,TOTAL_BIDEN,TOTAL_TRUMP,TOTAL_ALL,GOP_Straight,DEM_Straight,GOP_Split,DEM_Split,prop_split,trump,biden
342,353,702,385,226,626,727,579,1328,0.502849003,0.487179487,0.361022364,0.615015974,0.471385542,0.435993976,0.547439759
267,397,671,249,137,387,516,534,1058,0.591654247,0.397913562,0.354005168,0.643410853,0.365784499,0.504725898,0.487712665
285,308,597,371,221,599,656,529,1196,0.515912898,0.477386935,0.368948247,0.619365609,0.50083612,0.442307692,0.548494983
256,343,603,396,231,647,652,574,1250,0.568822554,0.424543947,0.357032457,0.612055641,0.5176,0.4592,0.5216
187,423,616,311,259,595,498,682,1211,0.686688312,0.303571429,0.435294118,0.522689076,0.49132948,0.563170933,0.411230388
302,612,931,256,344,622,558,956,1553,0.65735768,0.324382385,0.553054662,0.411575563,0.400515132,0.615582743,0.359304572
298,588,893,440,485,949,738,1073,1842,0.658454647,0.333706607,0.511064278,0.463645943,0.515200869,0.582519001,0.400651466
323,868,1202,333,495,859,656,1363,2061,0.722129784,0.268718802,0.576251455,0.38766007,0.416787967,0.661329452,0.318292091
308,829,1150,391,465,873,699,1294,2023,0.720869565,0.267826087,0.532646048,0.447880871,0.431537321,0.639644093,0.345526446
446,261,712,444,172,626,890,433,1338,0.366573034,0.626404494,0.274760383,0.709265176,0.467862481,0.323617339,0.665171898
349,272,624,463,187,665,812,459,1289,0.435897436,0.559294872,0.281203008,0.696240602,0.515903801,0.356089992,0.629945694
400,279,680,486,168,669,886,447,1349,0.410294118,0.588235294,0.251121076,0.726457399,0.495922906,0.33135656,0.656782802
371,229,601,423,139,582,794,368,1183,0.381031614,0.617304493,0.238831615,0.726804124,0.491969569,0.311073542,0.671174979
391,185,578,525,172,723,916,357,1301,0.320069204,0.676470588,0.237897649,0.726141079,0.555726364,0.274404304,0.704073789
418,226,651,538,128,679,956,354,1330,0.347158218,0.642089094,0.188512518,0.792341679,0.510526316,0.266165414,0.718796992
