"ID","ag-2016","ag-2020","auditor-2016","auditor-2020","gov-2018","gov-2022","president-2016","president-2020","senator-2016","senator-2018","senator-2022","treasurer-2016","treasurer-2020"
50,0.4766,0.41969977380218,0.520498349483548,0.357255437637911,0.51128818061089,0.449918400652795,0.34930160372478,0.332962475978558,0.43667982502934,0.510112816343124,0.398668032786885,0.528814284186892,0.375596102011196
51,0.4787,0.429780724120347,0.517411369834277,0.373496474491912,0.515739236393176,0.461554047208996,0.359774820880246,0.353012290953053,0.432734952481521,0.513442223800345,0.410008153281696,0.518522438611346,0.38753081347576
52,0.4366,0.386122448979592,0.478420665756589,0.329024919863509,0.467568117120781,0.409072498987444,0.323475235366353,0.310257960499798,0.385007432575918,0.463040162684291,0.362590367579676,0.476558365964652,0.346911553457829
53,0.5431,0.588721338566412,0.505968306235851,0.54535920293655,0.630379489266456,0.64167854960277,0.551810759891145,0.576821862348178,0.50823672971324,0.613606273551278,0.598516840045319,0.540368199115499,0.564155844155844
54,0.6969,0.721648419747986,0.675490596892886,0.69400863430557,0.764211166278245,0.766517584874975,0.711377493024698,0.717832273690584,0.664705882352941,0.74949124949125,0.720656073808303,0.701860179885527,0.702930174563591
55,0.4057,0.438976982097187,0.458302737857967,0.376727272727273,0.479371515458692,0.483818440871158,0.366556496591613,0.385159725030328,0.380606443461781,0.454065040650406,0.42157862533143,0.44002531912649,0.389341305020101
56,0.3932,0.41704998466728,0.443824952661477,0.347010672469174,0.466808769792935,0.474514192695086,0.328921517940234,0.354499494438827,0.35304640639798,0.434190466510824,0.402956167176351,0.426445757703672,0.360559613208518
57,0.4087,0.442791174961519,0.45783004873914,0.370107504435863,0.482909460834181,0.494596247960848,0.348863754280378,0.379987846870569,0.371687955241212,0.454832789559543,0.425855901890649,0.440580939255804,0.384360435007768
58,0.4359,0.413539216688823,0.485478058087768,0.351975051975052,0.47766043866775,0.450543864999492,0.34070114115349,0.342089310971914,0.39404572036151,0.459742105797543,0.390336091531311,0.472942920681987,0.36679695535898
59,0.3699,0.381587041213861,0.425333615759373,0.315570358034971,0.440767434778195,0.427114148729981,0.298697270471464,0.317248356095094,0.338541666666667,0.420325203252033,0.365126523921729,0.412303107705407,0.32923680677476
60,0.3973,0.380209402586738,0.453494538127055,0.310207919757601,0.44422939798309,0.425239356284376,0.306295149638803,0.306507196432191,0.350320512820513,0.425876835236542,0.367173065079039,0.444991438356164,0.327040763406286
61,0.5522,0.610287350444831,0.505199836867863,0.561897855588936,0.646273637374861,0.694610778443114,0.584455958549223,0.61655729429581,0.511973325250076,0.62249443207127,0.62460341827858,0.539495114006515,0.582673928681533
62,0.4257,0.406776180698152,0.457883369330454,0.335951408524453,0.477712192143293,0.439463250991156,0.348232848232848,0.34211059347782,0.389821331889551,0.468705402650357,0.383425527555829,0.464984775989561,0.358038768529076
63,0.311,0.274317275237803,0.337837837837838,0.214360258818618,0.347024052181003,0.312430011198208,0.224800580130529,0.219075553757459,0.278332796218713,0.33543852500764,0.266872110939908,0.346660949726659,0.227470028937578
64,0.3327,0.331308555544116,0.341023714990879,0.264889453083677,0.398961620686145,0.374987248801387,0.280894181552282,0.28727825646224,0.31656836461126,0.378033856822354,0.331750129065565,0.359192921881744,0.279103699843669
65,0.3255,0.311343190983352,0.320676936428726,0.275450996940606,0.382703473566263,0.376963884921445,0.284325002614242,0.29179362177534,0.29585798816568,0.376945772713399,0.336223805099618,0.353326063249727,0.291423205342237
66,0.2674,0.239152681129758,0.295717777069387,0.185440133500209,0.281720211468076,0.283545593479368,0.190795583531111,0.197832252836305,0.235549289664895,0.293627401158654,0.235457348406989,0.298123324396783,0.208475100525827
67,0.2583,0.246378300626734,0.245679539150843,0.218782791185729,0.294129595774934,0.283746273259998,0.23120787973043,0.244147157190635,0.23984546308865,0.306668021955682,0.266205615194055,0.260832168584023,0.225833075415248
68,0.2504,0.237407101568951,0.233661881294193,0.210736842105263,0.284954485015854,0.273497295642412,0.222268731686898,0.236424649176327,0.239509565585033,0.294939808202408,0.251370075483404,0.255642361111111,0.208082901554404
69,0.2859,0.239636512150296,0.310272316265377,0.190104978692444,0.31116098755356,0.28260648571719,0.200061747452918,0.204848484848485,0.232191925597125,0.317674512987013,0.229385153197615,0.311321759505805,0.218519278096801
