"ID","ag-2018","ag-2022","compt-2018","gov-2018","gov-2022","ltgov-2018","ltgov-2022","pres-2016","pres-2020","pres-2024","sc-2016","sc-2018","sc-2020","senator-2018","senator-2020","senator-2024","trea-2022"
13,0.277783468196251,0.249307763306328,0.251628243564561,0.247258326563769,0.242955605108453,0.291034058268363,0.249357590708192,0.231397174254317,0.268835790543976,0.258768826442939,0.223458994014491,0.188695192815637,0.2551,0.279854882595989,0.255059065228557,0.274036987841014,0.232349034433432
14,0.372088271352677,0.328954120907318,0.347539633518633,0.330425078624328,0.325553074893444,0.366425440831719,0.329607219772331,0.352238495896956,0.355329949238579,0.328077622801698,0.348716349651803,0.265576902664261,0.3441,0.369587109768379,0.344166495796596,0.349401289530243,0.312844598733919
15,0.563145515901421,0.478149887686339,0.543059460585234,0.501011736139215,0.469069555533057,0.551917584659323,0.461917470745227,0.56863763898992,0.485451606385128,0.410026225539641,0.563182199832074,0.438767593926632,0.4944,0.558719935594244,0.475939694341181,0.448074559606719,0.457559958289885
16,0.716445733222867,0.645936468646865,0.710301346441547,0.678418585693907,0.647310078307739,0.703031552897505,0.632910074937552,0.723112856991188,0.679869997968718,0.581057760633438,0.694536868090587,0.601631621280018,0.6678,0.746127539730437,0.673367897576976,0.607381150959133,0.630754677317637
17,0.38935516888434,0.348734307470673,0.356884619357504,0.347375900923764,0.344247339077547,0.393824762294244,0.346911553457829,0.352509692968668,0.385506657180608,0.352196800971857,0.33984130298601,0.277183219178082,0.3671,0.38994154404354,0.369705671213209,0.370680842363525,0.32713336739908
18,0.770446665306955,0.743629264282778,0.742792421746293,0.721951219512195,0.74388635210553,0.759711206019931,0.741167988464311,0.769823903303116,0.746071971616827,0.701898669915727,0.737785185956871,0.655513561582926,0.7289,0.774252039891206,0.726841834106131,0.733141447368421,0.718183690280066
19,0.279381654381654,0.231448219234322,0.247236284740159,0.244120940649496,0.224057559789218,0.300831366109001,0.230136704697297,0.245805369127517,0.265482233502538,0.23914360735205,0.231842989084803,0.185842577918648,0.2507,0.279798488664987,0.249281018898932,0.252509731612374,0.210564102564103
20,0.689126633062442,0.668964807573575,0.670817202050853,0.628449241421444,0.671402476151816,0.664787288569964,0.660145681581686,0.669571686682963,0.668191986983933,0.607566690333705,0.64507855081757,0.563626062322946,0.6533,0.697162476017368,0.644097581145338,0.648351648351648,0.649842931937173
21,0.392545435876373,0.388934764657308,0.346695670188523,0.337751044958711,0.38253807106599,0.381093814010651,0.385352286773795,0.352498941126641,0.400020310754545,0.380522902310499,0.311265969802555,0.268261150614092,0.366,0.397052886556318,0.370332480818414,0.399959104386055,0.352200614124872
22,0.406601267116289,0.395893223819302,0.36788576124923,0.35551948051948,0.396773866287917,0.397045338767193,0.398299877099549,0.372112469948782,0.41862117981521,0.400449713818479,0.336273085702428,0.287885273972603,0.3903,0.411503979047043,0.392619850761525,0.427736777367774,0.365419987737584
23,0.483923985618901,0.451662561576355,0.454270518302221,0.429238578680203,0.447544642857143,0.471960704052395,0.444135516424673,0.479116254602841,0.463572803728848,0.421574580044525,0.449888877129855,0.359838568935428,0.4489,0.49158181268273,0.444124601624345,0.454871794871795,0.421281440844633
24,0.415367254821502,0.430788459535465,0.361334986567473,0.347076232268599,0.416057653268372,0.403095213692733,0.433964204896112,0.373799218832471,0.437284000813173,0.421127765881513,0.309351764582679,0.28213098938793,0.388,0.426409764955109,0.391873912598506,0.44374106595875,0.377171469446148
