"ID","ag-2018","ag-2022","gov-2018","gov-2022","ltgov-2022","president-2016","president-2020","president-2024","senator-2022","senator-2024","sos-2022","treas-2022"
37,0.8993,0.8454,0.8824,0.8503,0.8304,0.923696038465559,0.873407399857303,0.8115971935617,0.8645,0.7986,0.8557,0.843
38,0.6598,0.5739,0.6328,0.5773,0.58,0.690108027960178,0.654144548795427,0.583032304675405,0.5968,0.5677,0.583,0.5733
39,0.6224,0.5469,0.5985,0.5465,0.5495,0.652922422954304,0.633575299049177,0.549984524914887,0.5646,0.5464,0.5592,0.5375
40,0.4562,0.441,0.4422,0.4457,0.4532,0.477140129415509,0.509543737878942,0.488052136133237,0.4586,0.4609,0.4511,0.4355
41,0.4667,0.4521,0.4527,0.4538,0.4583,0.46817895400126,0.494451796803421,0.469712525667351,0.4684,0.4561,0.4606,0.45
42,0.7419,0.6679,0.7186,0.6668,0.665,0.769886061122351,0.73476078270669,0.668048072938251,0.6903,0.6522,0.6747,0.6542
43,0.8489,0.7825,0.8317,0.7834,0.7627,0.880850172756779,0.826073619631902,0.752970348176465,0.7998,0.7368,0.7915,0.7777
44,0.7687,0.697,0.7426,0.6946,0.6883,0.798710904480135,0.746850998463902,0.674548270521425,0.7165,0.6615,0.7027,0.686
45,0.5209,0.4785,0.5041,0.49,0.4887,0.570293463290603,0.531552655724335,0.507934872217642,0.4928,0.4954,0.4879,0.4742
46,0.6694,0.5905,0.6452,0.5962,0.5952,0.709930961232076,0.65542267198201,0.591518778373917,0.6062,0.5924,0.6002,0.5745
47,0.5254,0.4876,0.5154,0.4974,0.5028,0.539517072651846,0.556554613262491,0.521608456834905,0.5083,0.4979,0.4995,0.484
48,0.3975,0.385,0.3828,0.3805,0.3883,0.394759176745173,0.43693094629156,0.421570637687103,0.3979,0.4032,0.3924,0.3843
49,0.5192,0.5006,0.5066,0.5043,0.5136,0.529725122522906,0.558363171355499,0.539878563342595,0.5216,0.5121,0.5132,0.4982
50,0.6253,0.6,0.612,0.61,0.6166,0.645395368690641,0.669534931366523,0.652907097041175,0.6274,0.6228,0.6183,0.6057
51,0.6087,0.5924,0.5913,0.595,0.6012,0.622653583617747,0.639762368124552,0.621208995254797,0.6122,0.6034,0.6087,0.5957
52,0.7043,0.6349,0.6726,0.6312,0.6258,0.745830694532404,0.68824670683141,0.608771569433032,0.648,0.6058,0.6449,0.621
